max_depth, n_estimators, cross_val_score, training_score, testing_score
1,1,0.652579879546, 0.8, 0.88
2,1,0.687745263476, 0.804444444444, 0.84
3,1,0.638529585271, 0.853333333333, 0.86
4,1,0.736145751876, 0.88, 0.72
5,1,0.707674198461, 0.986666666667, 0.86
6,1,0.720490321164, 1.0, 0.9
7,1,0.722834094744, 1.0, 0.92
8,1,0.753801978296, 1.0, 0.88
9,1,0.687277990424, 1.0, 0.9
10,1,0.698683788122, 1.0, 0.94
1,2,0.608205402587, 0.768888888889, 0.84
2,2,0.656802348712, 0.813333333333, 0.84
3,2,0.709251622285, 0.88, 0.88
4,2,0.69369606673, 0.92, 0.92
5,2,0.707402834369, 0.995555555556, 0.94
6,2,0.758122676325, 1.0, 0.94
7,2,0.740565227532, 1.0, 0.94
8,2,0.747011016449, 1.0, 0.86
9,2,0.744665596576, 1.0, 0.94
10,2,0.751505398472, 1.0, 0.92
1,3,0.621490993401, 0.771111111111, 0.86
2,3,0.678805339479, 0.815555555556, 0.82
3,3,0.702584955619, 0.875555555556, 0.86
